Date,Open,High,Low,Close,Volume
19-Jul-17,35.30,36.19,35.30,35.90,1696841
18-Jul-17,35.25,35.33,34.94,35.00,1086321
17-Jul-17,35.50,35.60,35.19,35.19,641075
14-Jul-17,35.09,35.43,34.87,35.36,812656
13-Jul-17,35.38,35.40,35.10,35.36,730997
12-Jul-17,35.15,35.69,35.10,35.55,1204346
11-Jul-17,34.94,35.19,34.70,34.89,1401778
10-Jul-17,34.14,34.56,33.98,34.44,1693875
7-Jul-17,33.51,33.67,33.40,33.51,1120624
6-Jul-17,33.61,33.68,33.09,33.16,1429722
5-Jul-17,33.31,33.57,33.28,33.38,1158270
3-Jul-17,33.14,33.56,33.10,33.25,609357
30-Jun-17,33.27,33.51,32.65,33.01,2564278
29-Jun-17,33.72,33.78,32.92,33.33,1393394
28-Jun-17,34.12,34.24,34.00,34.13,1157334
27-Jun-17,34.08,34.21,33.79,33.97,698706
26-Jun-17,34.12,34.30,33.86,34.14,819971
23-Jun-17,34.41,34.42,33.86,34.00,1150258
22-Jun-17,35.06,35.12,34.94,34.96,607986
21-Jun-17,35.35,35.47,34.84,35.02,902619
20-Jun-17,35.79,35.94,35.59,35.62,742056
19-Jun-17,34.77,35.55,34.77,35.17,1151307
16-Jun-17,35.12,35.26,34.74,34.88,1683193
15-Jun-17,34.71,34.82,34.35,34.81,825326
14-Jun-17,35.28,35.37,34.96,35.12,764516
13-Jun-17,34.81,35.08,34.72,35.02,664631
12-Jun-17,35.31,35.31,34.78,35.01,1549820
9-Jun-17,36.07,36.27,35.34,35.53,1256831
8-Jun-17,35.69,35.87,35.60,35.71,633097
7-Jun-17,35.77,35.82,35.48,35.60,632579
6-Jun-17,35.91,35.91,35.48,35.85,1748869
5-Jun-17,37.22,37.36,36.87,37.00,774788
2-Jun-17,37.14,37.38,37.04,37.31,669400
1-Jun-17,37.00,37.35,36.91,37.12,736546
31-May-17,36.85,36.97,36.63,36.83,898925
30-May-17,37.13,37.20,36.74,36.85,910011
26-May-17,37.00,37.19,36.80,37.07,1131447
25-May-17,36.62,36.95,36.54,36.56,1744995
24-May-17,36.23,36.23,35.37,35.81,1729253
23-May-17,36.44,37.62,36.38,36.81,2725158
22-May-17,34.52,35.00,34.52,34.90,1105543
19-May-17,34.22,34.61,34.14,34.45,1114901
18-May-17,33.70,34.06,33.41,33.88,1071703
17-May-17,34.75,34.90,34.11,34.21,1233710
16-May-17,34.02,34.27,33.97,34.18,807847
15-May-17,33.78,33.98,33.64,33.90,1222895
12-May-17,33.49,33.87,33.44,33.76,856631
11-May-17,33.20,33.51,33.11,33.45,1121642
10-May-17,33.14,33.51,32.99,33.49,994105
9-May-17,33.12,33.24,32.74,32.77,1301234
8-May-17,32.90,32.98,32.70,32.77,1723995
5-May-17,32.73,32.96,32.55,32.73,2506419
4-May-17,34.10,34.13,33.82,33.92,1456789
3-May-17,34.62,34.82,34.49,34.70,845079
2-May-17,35.21,35.21,34.49,34.81,914280
1-May-17,35.72,35.74,35.08,35.17,1049565
28-Apr-17,35.62,35.73,35.47,35.67,516726
27-Apr-17,35.42,35.63,35.42,35.54,641380
26-Apr-17,35.03,35.36,34.94,35.30,1139057
25-Apr-17,34.36,34.69,34.22,34.66,2427064
24-Apr-17,34.26,34.32,33.99,34.18,1770045
21-Apr-17,33.93,34.02,33.48,33.72,1618302
20-Apr-17,34.15,34.49,34.12,34.19,1754941
19-Apr-17,34.11,34.25,33.90,34.00,1789800
18-Apr-17,34.47,34.48,33.76,33.82,1917407
17-Apr-17,34.73,34.90,34.71,34.90,1124153
13-Apr-17,35.06,35.08,34.58,34.72,1275174
12-Apr-17,35.85,35.85,35.19,35.43,1466914
11-Apr-17,36.60,36.73,35.76,35.89,1362013
10-Apr-17,36.35,36.64,36.35,36.59,1256206
7-Apr-17,36.07,36.29,36.04,36.09,1065008
6-Apr-17,35.98,36.16,35.93,36.06,964230
5-Apr-17,35.92,36.18,35.78,35.82,1443243
4-Apr-17,35.35,35.53,35.31,35.40,819730
3-Apr-17,35.75,35.84,35.36,35.41,1050286
31-Mar-17,35.72,35.74,35.42,35.65,1321562
30-Mar-17,35.74,35.84,35.61,35.80,824227
29-Mar-17,36.12,36.14,35.68,35.77,1153908
28-Mar-17,36.13,36.60,36.10,36.18,911669
27-Mar-17,35.53,36.15,35.22,36.05,909923
24-Mar-17,35.65,35.86,35.54,35.74,1432370
23-Mar-17,35.85,36.33,35.58,35.71,1928514
22-Mar-17,35.24,35.56,35.09,35.55,2190430
21-Mar-17,36.48,36.76,35.68,35.76,2480569
20-Mar-17,36.40,36.62,36.23,36.62,1133193
17-Mar-17,36.30,36.47,36.14,36.40,1501806
16-Mar-17,36.94,36.98,36.59,36.70,1519660
15-Mar-17,35.95,36.54,35.90,36.46,1471071
14-Mar-17,35.90,35.92,35.42,35.88,1586015
13-Mar-17,35.60,36.18,35.60,36.11,1289951
10-Mar-17,34.90,35.22,34.76,35.16,2646292
9-Mar-17,34.60,34.91,34.60,34.73,2154000
8-Mar-17,34.70,34.75,34.42,34.59,1536662
7-Mar-17,34.71,34.77,34.50,34.66,1231253
6-Mar-17,35.12,35.20,34.70,34.81,1679217
3-Mar-17,34.70,34.81,34.44,34.81,1539394
2-Mar-17,34.26,34.78,34.22,34.64,2062166
1-Mar-17,34.00,34.00,33.49,33.84,974929
28-Feb-17,34.05,34.05,33.51,33.59,1583894
27-Feb-17,34.18,34.21,33.93,34.00,841433
24-Feb-17,34.06,34.34,34.04,34.32,763373
23-Feb-17,34.56,34.70,34.14,34.39,1352320
22-Feb-17,34.45,34.80,34.37,34.53,1768465
21-Feb-17,33.88,34.88,33.71,34.50,3029544
17-Feb-17,33.39,33.47,32.84,33.46,1424703
16-Feb-17,33.25,33.34,32.98,33.05,1896175
15-Feb-17,33.41,33.69,32.32,32.39,4001260
14-Feb-17,35.00,35.04,32.32,33.41,7962998
13-Feb-17,37.69,37.79,37.38,37.42,1217345
10-Feb-17,37.91,38.14,37.87,38.09,389972
9-Feb-17,38.23,38.50,37.96,38.04,879589
8-Feb-17,37.92,38.19,37.50,38.13,1040761
7-Feb-17,37.63,37.96,37.41,37.62,944608
6-Feb-17,38.71,38.82,38.55,38.77,647328
3-Feb-17,39.00,39.48,38.66,38.86,728046
2-Feb-17,39.53,39.53,38.84,39.19,951199
1-Feb-17,39.81,39.87,38.83,39.58,1262494
31-Jan-17,38.63,38.96,38.39,38.96,506802
30-Jan-17,39.18,39.20,38.72,38.80,949749
27-Jan-17,39.69,40.23,39.62,39.91,467858
26-Jan-17,39.94,40.22,39.88,40.09,947648
25-Jan-17,40.25,40.34,40.00,40.12,662539
24-Jan-17,39.58,40.16,39.58,40.01,981246
23-Jan-17,38.91,39.12,38.69,39.05,692196
20-Jan-17,38.50,38.65,38.28,38.42,592027
19-Jan-17,38.71,38.95,38.63,38.76,734526
18-Jan-17,38.34,38.48,38.31,38.35,1094227
17-Jan-17,38.18,38.36,38.08,38.21,808305
13-Jan-17,37.73,38.08,37.62,38.04,662619
12-Jan-17,38.23,38.32,37.70,37.94,674010
11-Jan-17,37.93,38.54,37.83,38.51,1035846
10-Jan-17,37.69,38.34,37.67,38.15,1771823
9-Jan-17,36.39,37.41,36.35,37.26,2476762
6-Jan-17,36.60,36.60,36.20,36.34,696251
5-Jan-17,36.60,36.95,36.38,36.60,1024806
4-Jan-17,35.70,35.99,35.54,35.95,508618
3-Jan-17,34.95,35.59,34.81,35.52,1784354
30-Dec-16,34.37,34.50,34.26,34.39,765912
29-Dec-16,34.22,34.43,34.20,34.24,710595
28-Dec-16,34.03,34.08,33.43,33.48,710262
27-Dec-16,34.06,34.33,34.06,34.20,340273
23-Dec-16,34.26,34.30,33.90,34.05,324650
22-Dec-16,34.57,34.70,33.99,34.29,932251
21-Dec-16,34.50,34.78,34.39,34.76,366536
20-Dec-16,34.56,34.73,34.23,34.55,551052
19-Dec-16,34.58,34.76,34.43,34.56,568879
16-Dec-16,34.50,34.74,34.45,34.59,781340
15-Dec-16,33.98,34.25,33.71,34.16,721407
14-Dec-16,34.55,34.60,33.98,34.08,785177
13-Dec-16,34.86,34.86,34.44,34.60,674437
12-Dec-16,35.64,36.15,35.00,35.04,1755549
9-Dec-16,34.38,34.39,33.86,33.98,738224
8-Dec-16,34.42,34.58,34.12,34.38,1569633
7-Dec-16,32.56,33.48,32.24,33.33,984257
6-Dec-16,32.37,32.55,32.18,32.41,798872
5-Dec-16,32.37,32.57,32.19,32.20,993448
2-Dec-16,31.88,32.47,31.71,32.00,689309
1-Dec-16,32.61,32.63,32.31,32.41,916603
30-Nov-16,33.32,33.49,32.96,33.07,1289144
29-Nov-16,33.21,33.37,33.04,33.17,855908
28-Nov-16,33.28,33.28,32.69,32.73,947927
25-Nov-16,33.30,33.56,33.02,33.43,1322737
23-Nov-16,33.95,34.01,33.32,33.51,1066444
22-Nov-16,34.14,34.23,33.81,33.97,986403
21-Nov-16,33.79,34.34,33.79,33.94,1548581
18-Nov-16,34.40,34.44,33.82,34.09,1426301
17-Nov-16,34.81,34.82,34.00,34.22,1971642
16-Nov-16,33.97,34.12,33.48,33.84,1985465
15-Nov-16,34.10,34.56,33.81,34.40,2917048
14-Nov-16,37.40,37.40,34.74,35.02,3898789
11-Nov-16,37.46,37.58,36.87,37.42,1822810
10-Nov-16,39.86,39.87,38.91,39.19,1026628
9-Nov-16,39.81,39.89,39.37,39.81,1228201
8-Nov-16,40.21,40.95,40.20,40.31,1628715
7-Nov-16,38.14,39.26,38.14,39.10,1708925
4-Nov-16,37.85,38.24,37.61,37.81,616204
3-Nov-16,37.94,38.24,37.68,37.79,914247
2-Nov-16,38.42,38.45,37.54,37.86,980701
1-Nov-16,39.35,39.65,38.81,39.06,1036586
31-Oct-16,39.56,39.56,39.12,39.41,618378
28-Oct-16,39.77,39.86,39.34,39.57,1098008
27-Oct-16,38.93,40.55,38.83,39.04,1392915
26-Oct-16,39.30,39.49,38.76,38.90,1531166
25-Oct-16,41.07,41.11,40.46,40.61,1030269
24-Oct-16,41.03,41.50,40.95,41.01,848299
21-Oct-16,40.41,40.58,40.27,40.45,751103
20-Oct-16,41.01,41.01,40.71,40.83,442981
19-Oct-16,41.04,41.41,40.97,41.32,853993
18-Oct-16,41.29,41.39,40.89,41.06,891104
17-Oct-16,40.80,41.10,40.65,40.76,506003
14-Oct-16,41.45,41.54,41.25,41.27,599175
13-Oct-16,40.60,40.60,40.10,40.49,811311
12-Oct-16,41.63,41.74,41.40,41.45,956591
11-Oct-16,41.86,42.04,41.60,41.73,868905
10-Oct-16,42.30,42.49,42.02,42.07,647952
7-Oct-16,42.37,42.53,42.00,42.18,994674
6-Oct-16,41.38,41.71,41.14,41.50,591733
5-Oct-16,41.68,42.38,41.67,42.09,1536156
4-Oct-16,41.31,41.49,40.74,40.84,717237
3-Oct-16,40.66,41.04,40.46,40.99,1191986
30-Sep-16,39.90,40.45,39.90,39.98,1196741
29-Sep-16,39.38,39.84,39.17,39.32,1159411
28-Sep-16,40.52,40.62,40.18,40.59,768036
27-Sep-16,40.07,40.23,39.82,39.98,977642
26-Sep-16,40.36,40.39,39.85,39.88,899717
23-Sep-16,41.52,41.59,40.96,41.03,656486
22-Sep-16,42.01,42.53,41.71,41.73,1067592
21-Sep-16,41.16,41.55,40.97,41.51,777743
20-Sep-16,41.15,41.32,40.79,40.99,1081895
19-Sep-16,41.59,41.98,41.45,41.53,821362
16-Sep-16,41.34,41.54,41.12,41.32,829533
15-Sep-16,41.69,42.00,41.53,41.89,820850
14-Sep-16,42.02,42.14,41.74,41.86,1207931
13-Sep-16,42.00,42.30,41.43,41.56,1053788
12-Sep-16,41.53,42.61,41.43,42.56,1764662
9-Sep-16,43.05,43.13,42.17,42.17,1935913
8-Sep-16,44.04,44.15,43.73,43.76,1411590
7-Sep-16,44.20,44.79,44.18,44.29,1548125
6-Sep-16,43.87,44.44,43.80,44.24,3401399
2-Sep-16,41.47,42.47,41.46,42.23,3019674
1-Sep-16,40.85,41.39,40.85,41.24,2059147
31-Aug-16,40.06,40.97,39.99,40.77,2951461
30-Aug-16,39.80,39.96,39.62,39.83,1604910
29-Aug-16,39.08,39.98,38.97,39.80,2143751
26-Aug-16,38.58,39.00,38.47,38.76,2222934
25-Aug-16,37.01,38.02,37.00,37.93,2017203
24-Aug-16,37.50,37.75,37.14,37.18,1138389
23-Aug-16,37.85,38.07,37.73,37.77,879968
22-Aug-16,37.87,38.02,37.71,37.95,920434
19-Aug-16,38.34,38.34,38.21,38.27,765488
18-Aug-16,38.63,38.89,38.46,38.73,833115
17-Aug-16,38.46,38.89,38.32,38.59,1391969
16-Aug-16,38.21,39.00,38.21,38.63,1547294
15-Aug-16,38.72,38.75,38.30,38.46,1223662
12-Aug-16,38.55,38.84,38.35,38.69,721226
11-Aug-16,37.79,38.31,37.72,38.18,1069396
10-Aug-16,38.08,38.15,37.67,37.75,1104376
9-Aug-16,38.63,38.96,38.63,38.85,1542184
8-Aug-16,38.86,39.24,38.70,38.99,1120797
5-Aug-16,38.52,39.02,38.51,39.00,1509469
4-Aug-16,37.47,38.34,37.41,38.13,1614030
3-Aug-16,35.55,36.94,35.44,36.91,2095099
2-Aug-16,37.02,37.23,36.61,36.76,1145442
1-Aug-16,37.88,38.38,37.82,37.99,1067778
29-Jul-16,37.43,37.83,37.22,37.83,1604934
28-Jul-16,37.61,37.61,37.30,37.50,923391
27-Jul-16,37.79,37.89,37.46,37.63,1472881
26-Jul-16,37.04,37.56,37.03,37.53,1178258
25-Jul-16,37.45,37.45,36.92,37.08,1236660
22-Jul-16,37.55,37.55,37.20,37.34,854441
